zone,valid_pt,t2m_c,ssrd_wm2,wind100,Date
NP15,2026/8/19 23:00,19.34869385,646.0355835,1.236150384,2026/8/19
SP15,2026/8/19 23:00,26.02960205,417.742218,1.970670104,2026/8/19
ZP26,2026/8/19 23:00,22.92156982,566.3733521,2.152422667,2026/8/19
NP15,2026/8/19 22:00,20.79707336,738.3629761,1.532536507,2026/8/19
SP15,2026/8/19 22:00,26.67653847,548.1185303,2.078772545,2026/8/19
ZP26,2026/8/19 22:00,24.19882202,671.9777832,2.31072855,2026/8/19
NP15,2026/8/19 21:00,22.24545288,830.6903687,1.828922629,2026/8/19
SP15,2026/8/19 21:00,27.32347679,678.494812,2.186874866,2026/8/19
ZP26,2026/8/19 21:00,25.47607422,777.5822144,2.469034433,2026/8/19
NP15,2026/8/19 20:00,23.6938324,923.0178223,2.125308752,2026/8/19
SP15,2026/8/19 20:00,27.97041321,808.8710938,2.294977188,2026/8/19
ZP26,2026/8/19 20:00,26.75332642,883.1866455,2.627340317,2026/8/19
NP15,2026/8/19 19:00,25.14221191,1015.345215,2.421694756,2026/8/19
SP15,2026/8/19 19:00,28.61734962,939.2474365,2.40307951,2026/8/19
ZP26,2026/8/19 19:00,28.03057861,988.7911377,2.785646439,2026/8/19
NP15,2026/8/19 18:00,26.59059143,1107.672607,2.718080997,2026/8/19
SP15,2026/8/19 18:00,29.26428795,1069.623657,2.511181831,2026/8/19
ZP26,2026/8/19 18:00,29.30783081,1094.395508,2.943952322,2026/8/19
NP15,2026/8/19 17:00,28.03897095,1200,3.014467001,2026/8/19
SP15,2026/8/19 17:00,29.91122437,1200,2.619284153,2026/8/19
ZP26,2026/8/19 17:00,30.58508301,1200,3.102258205,2026/8/19
NP15,2026/8/19 16:00,27.56173706,1200,2.748267174,2026/8/19
SP15,2026/8/19 16:00,30.03158569,1200,2.497569323,2026/8/19
ZP26,2026/8/19 16:00,30.12548828,1200,2.815836906,2026/8/19
NP15,2026/8/19 15:00,27.08450317,1200,2.482067585,2026/8/19
SP15,2026/8/19 15:00,30.15194702,1200,2.375854731,2026/8/19
ZP26,2026/8/19 15:00,29.66589355,1200,2.529415846,2026/8/19
NP15,2026/8/19 14:00,26.60726929,1200,2.215867758,2026/8/19
SP15,2026/8/19 14:00,30.27230835,1200,2.2541399,2026/8/19
ZP26,2026/8/19 14:00,29.20629883,1200,2.242994547,2026/8/19
NP15,2026/8/19 13:00,26.1300354,1200,1.94966805,2026/8/19
SP15,2026/8/19 13:00,30.39266968,1200,2.132425308,2026/8/19
ZP26,2026/8/19 13:00,28.7467041,1200,1.956573367,2026/8/19
NP15,2026/8/19 12:00,25.65280151,1200,1.683468342,2026/8/19
SP15,2026/8/19 12:00,30.51303101,1200,2.010710478,2026/8/19
ZP26,2026/8/19 12:00,28.28710938,1200,1.670152187,2026/8/19
NP15,2026/8/19 11:00,25.17556763,1200,1.417268634,2026/8/19
SP15,2026/8/19 11:00,30.63339233,1200,1.888995767,2026/8/19
ZP26,2026/8/19 11:00,27.82751465,1200,1.383731008,2026/8/19
NP15,2026/8/19 10:00,23.68450356,1000,1.422587156,2026/8/19
SP15,2026/8/19 10:00,29.60627174,1000,1.707171202,2026/8/19
ZP26,2026/8/19 10:00,26.473032,1000,1.432299256,2026/8/19
NP15,2026/8/19 9:00,22.19344139,800,1.427905679,2026/8/19
SP15,2026/8/19 9:00,28.57915306,800,1.525346637,2026/8/19
ZP26,2026/8/19 9:00,25.11855125,800,1.480867624,2026/8/19
NP15,2026/8/19 8:00,20.70237732,600,1.433224201,2026/8/19
SP15,2026/8/19 8:00,27.55203247,600,1.343522072,2026/8/19
ZP26,2026/8/19 8:00,23.7640686,600,1.529435873,2026/8/19
NP15,2026/8/19 7:00,19.21131325,400,1.438542843,2026/8/19
SP15,2026/8/19 7:00,26.52491188,400,1.161697388,2026/8/19
ZP26,2026/8/19 7:00,22.40958595,400,1.578004122,2026/8/19
NP15,2026/8/19 6:00,17.72025108,200,1.443861365,2026/8/19
SP15,2026/8/19 6:00,25.4977932,200,0.979872823,2026/8/19
ZP26,2026/8/19 6:00,21.05510521,200,1.62657249,2026/8/19
NP15,2026/8/19 5:00,16.22918701,0,1.449179888,2026/8/19
SP15,2026/8/19 5:00,24.47067261,0,0.798048258,2026/8/19
ZP26,2026/8/19 5:00,19.70062256,0,1.675140738,2026/8/19
NP15,2026/8/19 4:00,16.72139549,107.8622208,1.44316864,2026/8/19
SP15,2026/8/19 4:00,24.87857056,77.44889069,1.045148492,2026/8/19
ZP26,2026/8/19 4:00,20.23186684,94.21481323,1.825396538,2026/8/19
NP15,2026/8/19 3:00,17.21360207,215.7244415,1.437157273,2026/8/19
SP15,2026/8/19 3:00,25.28646851,154.8977814,1.292248726,2026/8/19
ZP26,2026/8/19 3:00,20.76311302,188.4296265,1.975652456,2026/8/19
NP15,2026/8/19 2:00,17.70581055,323.5866699,1.431146026,2026/8/19
SP15,2026/8/19 2:00,25.69436646,232.3466644,1.53934896,2026/8/19
ZP26,2026/8/19 2:00,21.2943573,282.6444397,2.125908375,2026/8/19
NP15,2026/8/19 1:00,18.19801903,431.4488831,1.425134778,2026/8/19
SP15,2026/8/19 1:00,26.1022644,309.7955627,1.786449194,2026/8/19
ZP26,2026/8/19 1:00,21.82560158,376.8592529,2.276164055,2026/8/19
NP15,2026/8/19 0:00,18.6902256,539.3110962,1.419123411,2026/8/19
SP15,2026/8/19 0:00,26.51016235,387.2444458,2.033549309,2026/8/19
ZP26,2026/8/19 0:00,22.35684776,471.0740662,2.426419973,2026/8/19
NP15,2026/8/18 23:00,17.56964111,661.0933228,1.814866066,2026/8/18
SP15,2026/8/18 23:00,26.90280151,522.3822021,2.609872341,2026/8/18
ZP26,2026/8/18 23:00,21.0296936,609.6177979,3.259710073,2026/8/18
NP15,2026/8/18 22:00,18.8674221,750.9111328,2.066731453,2026/8/18
SP15,2026/8/18 22:00,27.9276638,635.3184814,2.772149563,2026/8/18
ZP26,2026/8/18 22:00,22.28748131,708.0148315,3.212190628,2026/8/18
NP15,2026/8/18 21:00,20.16520119,840.7288818,2.31859684,2026/8/18
SP15,2026/8/18 21:00,28.95252419,748.2548218,2.934426785,2026/8/18
